"","City","Gemeente","Provincie","Randstad","Price","Lot size (m2)","Living space size (m2)","Build year","age","rooms","bedrooms","bathrooms","toilets","living_floors","basement","attic","Energy label","label_group","Position","Garden","House type","placement","Roof","frontyard","backyard","Estimated neighbourhood price per m2","agecategory"
"1","'s-Graveland","Wijdemeren","Noord-Holland","1",450000,126,108,"1800",223,"6","3","1","2","2","0","0","F","very low","Aan bosrand, aan drukke weg, aan vaarwater en aan water","Patio/atrium","Eengezinswoning","vrijstaande","composite","0","0",1320,"100<"
"2","'s-Gravendeel","Hoeksche Waard","Zuid-Holland","1",625000,502,151,"1980",43,"4","3","1","2","2","0","0","C","medior","Aan rustige weg, beschutte ligging, in centrum, in woonwijk en vrij uitzicht","Tuin rondom","Bungalow","vrijstaande","transverse","0","0",7965,"11-50"
"3","'s-Gravenpolder","Borsele","Zeeland","0",225000,263,99,"1961",62,"5","3","1","1","2","0","1","E","low","In woonwijk","Achtertuin en voortuin","Eengezinswoning","hoekwoning","gable","1","1",2517,"51-100"
"4","'s-Gravenzande","Westland","Zuid-Holland","1",475000,136,130,"1990",33,"5","3","1","1","3","0","0","B","medior","In woonwijk","Achtertuin en voortuin","Eengezinswoning","hoekwoning","gable","1","1",2940,"11-50"
"5","'s-Gravenzande","Westland","Zuid-Holland","1",550000,304,133,"1972",51,"4","3","1","1","2","0","0","F","very low","Aan rustige weg en in woonwijk","Achtertuin en voortuin","Bungalow","vrijstaande","gable","1","1",680,"51-100"
"6","'s-Gravenzande","Westland","Zuid-Holland","1",850000,1450,162,"1964",59,"5","4","2","2","2","0","1","E","low","Aan drukke weg en vrij uitzicht","Tuin rondom","Eengezinswoning","vrijstaande","gable","0","0",3215,"51-100"
"7","'s-Gravenzande","Westland","Zuid-Holland","1",415000,142,114,"1972",51,"5","4","1","1","3","0","0","B","medior","Aan rustige weg en in woonwijk","Achtertuin en voortuin","Eengezinswoning","tussenwoning","gable","1","1",2680,"51-100"
"8","'s-Gravenzande","Westland","Zuid-Holland","1",450000,143,132,"1978",45,"5","3","1","1","3","0","0","A","high","Aan rustige weg en in woonwijk","Achtertuin en voortuin","Eengezinswoning","tussenwoning","shed","1","1",1830,"11-50"
"9","'s-Heer Arendskerke","Goes","Zeeland","0",999000,5517,338,"1977",46,"7","5","2","1","2","0","0","D","low",NA,"Tuin rondom","Woonboerderij","vrijstaande","gable","0","0",3164.75846774194,"11-50"
"10","'s-Heerenberg","Montferland","Gelderland","0",250000,152,103,"1997",26,"5","4","1","1","2","1","1","B","medior","In bosrijke omgeving en in woonwijk","Achtertuin en voortuin","Eengezinswoning","tussenwoning","gable","1","1",4850,"11-50"
